incident_source_id,source_record_id,date,registration,fatalities,source_url,year
107641,20040114006359A,2004-01-14,180257,0,,2004
9998,19850105005749I,1985-01-05,075470,0,,1985
115507,20060412005639I,2006-04-12,176513,0,,2006
152444,20190630008719I,2019-06-30,222036,0,,2019
54493,19920207002459A,1992-02-07,157021,0,,1992
60264,19930407008129A,1993-04-07,154703,0,,1993
140047,20140607009519A,2014-06-07,209812,0,,2014
76229,19970705022309I,1997-07-05,144411,0,,1997
146001,20161204018929I,2016-12-04,215633,0,,2016
14356,19850919045709A,1985-09-19,081229,0,,1985
148723,20180113000799A,2018-01-13,218724,0,,2018
94513,20000708010769A,2000-07-08,149632,1,,2000
26392,19870821053829I,1987-08-21,107825,0,,1987
76810,19970625045999A,1997-06-25,071967,0,,1997
24189,19870520042409I,1987-05-20,166329,0,,1987
118649,20070430015829I,2007-04-30,185192,0,,2007
32547,19880824042099A,1988-08-24,088339,0,,1988
71581,19950913033219I,1995-09-13,076654,0,,1995
35448,19890313004909A,1989-03-13,082417,0,,1989
20249,19860804037269A,1986-08-04,080305,0,,1986
146649,20170308007359I,2017-03-08,216838,0,,2017
35145,19890130009959I,1989-01-30,089213,0,,1989
157087,20240911016239A,2024-09-11,235686,0,,2024
26857,19870927069769I,1987-09-27,048771,0,,1987
109644,20040607023549I,2004-06-07,028431,0,,2004
66982,19940810021039A,1994-08-10,065354,0,,1994
29364,19880308005809A,1988-03-08,139681,0,,1988
98256,20010629022679A,2001-06-29,177346,0,,2001
44342,19900725037219I,1990-07-25,051804,0,,1990
84328,19991105046329A,1999-11-05,140548,0,,1999
11615,19850403049219A,1985-04-03,090220,0,,1985
21070,19861022049619A,1986-10-22,092327,0,,1986
19924,19860801054929I,1986-08-01,145137,0,,1986
95468,20000927019399I,2000-09-27,080807,0,,2000
106780,20030904025399I,2003-09-04,024604,0,,2003
148323,20170925020899A,2017-09-25,218328,0,,2017
79575,19980914024039A,1998-09-14,160153,0,,1998
69067,19950102000059A,1995-01-02,086603,0,,1995
39761,19891027054949I,1989-10-27,074482,0,,1989
69472,19950213001709A,1995-02-13,080446,0,,1995
84012,19990911039739I,1999-09-11,117069,0,,1999
149032,20180424004049I,2018-04-24,219111,0,,2018
51478,19910816034649A,1991-08-16,036909,0,,1991
104878,20030417007029A,2003-04-17,031159,0,,2003
48119,19910218005429A,1991-02-18,090961,0,,1991
116218,20060608013459A,2006-06-08,178430,0,,2006
155998,20210510023129A,2021-05-10,232160,0,,2021
121666,20080128014389A,2008-01-28,187470,0,,2008
31297,19880619023339A,1988-06-19,115968,0,,1988
52131,19910906050219I,1991-09-06,121742,0,,1991
103549,20020929031839I,2002-09-29,032531,0,,2002
113813,20051001023189A,2005-10-01,065843,0,,2005
87642,19960428012209I,1996-04-28,075443,0,,1996
73498,19960516024919I,1996-05-16,116079,0,,1996
34960,19890107006369I,1989-01-07,119864,0,,1989
166002,20250321002769I,2025-03-21,236497,0,,2025
146200,20161118024759I,2016-11-18,218375,0,,2016
16317,19860123017469I,1986-01-23,096610,0,,1986
161237,20200318004119A,2020-03-18,223901,1,,2020
133328,20120215003309I,2012-02-15,203526,0,,2012
148058,20171003016299I,2017-10-03,217803,0,,2017
75133,19960121004049I,1996-01-21,078860,0,,1996
87189,19991005034209I,1999-10-05,121027,0,,1999
16087,19860110081279A,1986-01-10,148734,0,,1986
80355,19990108015469I,1999-01-08,094818,0,,1999
46505,19901120057849I,1990-11-20,157278,0,,1990
126913,20091115022569A,2009-11-15,192774,0,,2009
98881,20010820030239I,2001-08-20,178655,0,,2001
99288,20010830025479A,2001-08-30,179099,0,,2001
37661,19890621054199I,1989-06-21,112043,0,,1989
48333,19910303010569I,1991-03-03,078950,0,,1991
24681,19870611020049A,1987-06-11,140055,0,,1987
145458,20160829015439A,2016-08-29,215263,0,,2016
132499,20110820018929I,2011-08-20,202028,0,,2011
149188,20180317002879I,2018-03-17,218974,0,,2018
158588,20210405005029I,2021-04-05,226481,0,,2021
136542,20130211002429I,2013-02-11,206375,0,,2013
148652,20171122021879I,2017-11-22,218480,0,,2017
22124,19861220068709A,1986-12-20,146476,0,,1986
82393,19990413003299A,1999-04-13,083696,0,,1999
81425,19990603013689I,1999-06-03,069551,0,,1999
16564,19860224005169A,1986-02-24,173588,0,,1986
75047,19970129008369I,1997-01-29,173846,0,,1997
119835,20070712023389A,2007-07-12,185966,0,,2007
126926,20091115051149I,2009-11-15,196692,0,,2009
56486,19920722026609A,1992-07-22,085830,3,,1992
18397,19860506076999A,1986-05-06,093428,1,,1986
113799,20050921025299A,2005-09-21,066220,1,,2005
37490,19890610036789I,1989-06-10,129020,0,,1989
95537,20001003034239A,2000-10-03,156977,0,,2000
111306,20041217032989A,2004-12-17,027219,0,,2004
148411,20171102018159I,2017-11-02,218007,0,,2017
15656,19851204064249A,1985-12-04,155306,0,,1985
165191,20240601007129A,2024-06-01,234756,0,,2024
159164,20220520005129I,2022-05-20,228815,0,,2022
114992,20060123001339I,2006-01-23,175596,0,,2006
105176,20030509017199I,2003-05-09,023946,0,,2003
38625,19890802050509I,1989-08-02,105605,0,,1989
100158,20011227034219I,2001-12-27,020654,0,,2001
156923,20240415011009A,2024-04-15,235150,0,,2024
64616,19940114007529I,1994-01-14,098505,0,,1994
151438,20181130023989A,2018-11-30,222198,3,,2018
87282,19960220005189I,1996-02-20,029685,0,,1996
86800,19951128039089A,1995-11-28,079983,0,,1995
95040,20000905027659I,2000-09-05,104939,0,,2000
73054,19960522017469I,1996-05-22,121034,0,,1996
89840,19980302017249I,1998-03-02,159113,0,,1998
50980,19910731030869A,1991-07-31,165880,0,,1991
18061,19860422025909I,1986-04-22,142182,0,,1986
40401,19891130062139I,1989-11-30,149664,0,,1989
126842,20090924018339A,2009-09-24,192303,0,,2009
124197,20081119856879A,2008-11-19,190524,0,,2008
80198,19980727030559I,1998-07-27,086376,0,,1998
44438,19900703023229A,1990-07-03,037938,0,,1990
136507,20130219001639I,2013-02-19,206288,0,,2013
141904,20150422005799A,2015-04-22,211885,0,,2015
16558,19860217021509I,1986-02-17,077298,0,,1986
136031,20130115000089A,2013-01-15,206048,0,,2013
10630,19850302007049A,1985-03-02,151749,0,,1985
48878,19910405009019A,1991-04-05,090187,23,,1991
103511,20021107030859I,2002-11-07,022569,0,,2002
80882,19980923026019I,1998-09-23,171077,0,,1998
43290,19900601019829A,1990-06-01,109501,0,,1990
151108,20190123000339A,2019-01-23,220746,1,,2019
155967,20230310004489I,2023-03-10,232094,0,,2023
135810,20121027024039A,2012-10-27,205629,0,,2012
58048,19920920042599I,1992-09-20,067109,0,,1992
130919,20110410007919I,2011-04-10,200915,0,,2011
109457,20040612011609A,2004-06-12,032382,1,,2004
43239,19900530019949A,1990-05-30,090806,0,,1990
62111,19930809029119A,1993-08-09,070754,0,,1993
103944,20030124005129I,2003-01-24,023193,0,,2003
105807,20030627028979A,2003-06-27,032545,0,,2003
150064,20180717011469I,2018-07-17,219892,0,,2018
152389,20190622007859I,2019-06-22,221944,0,,2019
108614,20040404010299A,2004-04-04,033148,1,,2004
118465,20070119000729I,2007-01-19,181834,0,,2007
47897,19910123000969A,1991-01-23,155477,0,,1991
53986,19920120007559I,1992-01-20,090494,0,,1992
45572,19900914049949I,1990-09-14,122427,0,,1990
127333,20100104026139I,2010-01-04,197515,0,,2010
149645,20180518005559A,2018-05-18,219276,0,,2018
124835,20090120002899I,2009-01-20,190550,0,,2009
60980,19930515017509I,1993-05-15,017070,0,,1993
